PARAMETER, MIN, MAX, GRAIN, EXP, DEFAULT, AUTOMATABLE
LEVEL, -60, 6, 0, 1, -12, 1
SEMITONES, -24, 24, 1, 1, 0, 1
ADSR_1_ATTACK, 0, 5000, 0, 0.75, 10, 1
ADSR_1_ATTACK_CURVE, 0.1, 10, 0, 0.2890649616, 1, 1
ADSR_1_DECAY, 0, 60000, 0, 0.3, 1000, 1
ADSR_1_DECAY_CURVE, 0.1, 10, 0, 0.2890649616, 1, 1
ADSR_1_SUSTAIN, 0, 1, 0, 1, 1, 1
ADSR_1_RELEASE, 0, 10000, 0, 0.75, 400, 1
ADSR_1_RELEASE_CURVE, 0.1, 10, 0, 0.2890649616, 0.5, 1
ADSR_2_ATTACK, 0, 5000, 0, 0.75, 10, 1
ADSR_2_ATTACK_CURVE, 0.1, 10, 0, 0.2890649616, 1, 1
ADSR_2_DECAY, 0, 60000, 0, 0.3, 1000, 1
ADSR_2_DECAY_CURVE, 0.1, 10, 0, 0.2890649616, 1, 1
ADSR_2_SUSTAIN, 0, 1, 0, 1, 1, 1
ADSR_2_RELEASE, 0, 10000, 0, 0.75, 400, 1
ADSR_2_RELEASE_CURVE, 0.1, 10, 0, 0.2890649616, 0.5, 1
ADSR_3_ATTACK, 0, 5000, 0, 0.75, 10, 1
ADSR_3_ATTACK_CURVE, 0.1, 10, 0, 0.2890649616, 1, 1
ADSR_3_DECAY, 0, 60000, 0, 0.3, 1000, 1
ADSR_3_DECAY_CURVE, 0.1, 10, 0, 0.2890649616, 1, 1
ADSR_3_SUSTAIN, 0, 1, 0, 1, 1, 1
ADSR_3_RELEASE, 0, 10000, 0, 0.75, 400, 1
ADSR_3_RELEASE_CURVE, 0.1, 10, 0, 0.2890649616, 0.5, 1
LFO_1_FREQ, 0, 100, 0, 0.25, 2, 1
LFO_1_MODE, 0, 2, 1, 1, 0, 1
LFO_1_SYNC, 0, 3, 1, 1, 0, 1
LFO_1_TEMPO, 0, 12, 1, 1, 0, 1
LFO_1_RISE, 0, 4, 0, 1, 0, 1
LFO_1_SPLINE, 0, 1, 1, 1, 0, 1
LFO_1_ID, 0, 100, 1, 1, 0, 0
LFO_2_FREQ, 0, 100, 0, 0.25, 2, 1
LFO_2_MODE, 0, 2, 1, 1, 0, 1
LFO_2_SYNC, 0, 3, 1, 1, 0, 1
LFO_2_TEMPO, 0, 12, 1, 1, 0, 1
LFO_2_RISE, 0, 4, 0, 1, 0, 1
LFO_2_SPLINE, 0, 1, 1, 1, 0, 1
LFO_2_ID, 0, 100, 1, 1, 0, 0
LFO_3_FREQ, 0, 100, 0, 0.25, 2, 1
LFO_3_MODE, 0, 2, 1, 1, 0, 1
LFO_3_SYNC, 0, 3, 1, 1, 0, 1
LFO_3_TEMPO, 0, 12, 1, 1, 0, 1
LFO_3_RISE, 0, 4, 0, 1, 0, 1
LFO_3_SPLINE, 0, 1, 1, 1, 0, 1
LFO_3_ID, 0, 100, 1, 1, 0, 0
LFO_4_FREQ, 0, 100, 0, 0.25, 2, 1
LFO_4_MODE, 0, 2, 1, 1, 0, 1
LFO_4_SYNC, 0, 3, 1, 1, 0, 1
LFO_4_TEMPO, 0, 12, 1, 1, 0, 1
LFO_4_RISE, 0, 4, 0, 1, 0, 1
LFO_4_SPLINE, 0, 1, 1, 1, 0, 1
LFO_4_ID, 0, 100, 1, 1, 0, 0
ENABLE_MPE, 0, 1, 1, 1, 0, 0
ADSR_1_VIEWER_ZOOM, 0.3, 60, 0, 1, 3.5, 0
ADSR_2_VIEWER_ZOOM, 0.3, 60, 0, 1, 3.5, 0
ADSR_3_VIEWER_ZOOM, 0.3, 60, 0, 1, 3.5, 0
ADSR_VISIBLE_ID, 0, 2, 1, 1, 0, 0
LFO_VISIBLE_ID, 0, 3, 1, 1, 0, 0
